datetime,trading_date,open,last,high,low,prev_settlement,prev_close,volume,open_interest,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate
2024-03-29 20:59:00.500,2024-04-01,531.6,531.6,531.6,531.6,525.98,532.2,31.0,78430.0,16479600.0,557.52,494.42,531.6,531.72,531.78,531.88,531.9,531.5,531.42,531.36,531.28,531.2,1.0,6.0,3.0,3.0,2.0,6.0,1.0,3.0,1.0,4.0,0.0106848169131905
2024-03-29 21:00:00.500,2024-04-01,531.6,531.36,531.6,531.28,525.98,532.2,54.0,78447.0,28701520.0,557.52,494.42,531.38,531.4,531.42,531.46,531.48,531.3,531.2,531.08,531.02,531.0,5.0,3.0,4.0,2.0,9.0,3.0,4.0,1.0,1.0,5.0,0.01022852579946
2024-03-29 21:00:01.000,2024-04-01,531.6,531.3,531.6,531.28,525.98,532.2,69.0,78450.0,36671740.0,557.52,494.42,531.3,531.34,531.36,531.38,531.4,531.24,531.2,531.12,531.08,531.04,9.0,2.0,1.0,1.0,4.0,2.0,7.0,1.0,1.0,1.0,0.0101144530210273
2024-03-29 21:00:01.500,2024-04-01,531.6,531.28,531.6,531.24,525.98,532.2,95.0,78446.0,50485440.0,557.52,494.42,531.36,531.38,531.4,531.44,531.48,531.3,531.28,531.26,531.24,531.2,2.0,1.0,4.0,3.0,10.0,1.0,5.0,7.0,4.0,7.0,0.0100764287615497
2024-03-29 21:00:02.000,2024-04-01,531.6,531.3,531.6,531.24,525.98,532.2,114.0,78446.0,60580100.0,557.52,494.42,531.32,531.34,531.36,531.4,531.44,531.28,531.26,531.24,531.2,531.16,6.0,4.0,5.0,6.0,2.0,1.0,3.0,3.0,9.0,2.0,0.0101144530210273
2024-03-29 21:00:02.500,2024-04-01,531.6,531.32,531.6,531.24,525.98,532.2,133.0,78455.0,70675340.0,557.52,494.42,531.4,531.44,531.46,531.48,531.5,531.32,531.3,531.28,531.26,531.24,3.0,3.0,1.0,10.0,16.0,8.0,14.0,2.0,2.0,4.0,0.010152477280505
2024-03-29 21:00:03.000,2024-04-01,531.6,531.3,531.6,531.24,525.98,532.2,173.0,78436.0,91928680.0,557.52,494.42,531.3,531.4,531.44,531.46,531.48,531.28,531.26,531.24,531.2,531.16,10.0,2.0,1.0,22.0,8.0,4.0,2.0,2.0,6.0,3.0,0.0101144530210273
2024-03-29 21:00:03.500,2024-04-01,531.6,531.3,531.6,531.24,525.98,532.2,190.0,78429.0,100961000.0,557.52,494.42,531.4,531.44,531.46,531.48,531.5,531.32,531.3,531.28,531.26,531.24,2.0,4.0,22.0,7.0,15.0,1.0,14.0,14.0,2.0,3.0,0.0101144530210273
2024-03-29 21:00:04.000,2024-04-01,531.6,531.32,531.6,531.24,525.98,532.2,203.0,78431.0,107868240.0,557.52,494.42,531.36,531.38,531.4,531.44,531.46,531.3,531.28,531.26,531.24,531.2,3.0,7.0,3.0,3.0,22.0,4.0,2.0,2.0,5.0,6.0,0.010152477280505
2024-03-29 21:00:04.500,2024-04-01,531.6,531.38,531.6,531.24,525.98,532.2,212.0,78426.0,112650500.0,557.52,494.42,531.38,531.4,531.44,531.46,531.48,531.32,531.3,531.28,531.26,531.24,1.0,3.0,4.0,22.0,9.0,61.0,2.0,1.0,2.0,3.0,0.0102665500589376
2024-03-29 21:00:05.000,2024-04-01,531.6,531.4,531.6,531.24,525.98,532.2,214.0,78424.0,113713280.0,557.52,494.42,531.46,531.48,531.5,531.52,531.6,531.4,531.38,531.36,531.34,531.32,22.0,8.0,15.0,5.0,3.0,1.0,1.0,1.0,3.0,62.0,0.0103045743184151
2024-03-29 21:00:05.500,2024-04-01,531.6,531.32,531.6,531.24,525.98,532.2,224.0,78424.0,119026880.0,557.52,494.42,531.4,531.42,531.44,531.46,531.48,531.32,531.3,531.28,531.26,531.24,7.0,7.0,6.0,29.0,10.0,61.0,1.0,19.0,2.0,2.0,0.010152477280505
2024-03-29 21:00:06.000,2024-04-01,531.6,531.38,531.6,531.24,525.98,532.2,243.0,78420.0,129122740.0,557.52,494.42,531.4,531.44,531.46,531.48,531.5,531.32,531.3,531.28,531.26,531.24,9.0,10.0,24.0,12.0,15.0,57.0,1.0,15.0,2.0,2.0,0.0102665500589376
2024-03-29 21:00:06.500,2024-04-01,531.6,531.44,531.6,531.24,525.98,532.2,261.0,78417.0,138687640.0,557.52,494.42,531.44,531.46,531.48,531.5,531.52,531.32,531.3,531.28,531.26,531.24,3.0,22.0,11.0,15.0,2.0,54.0,1.0,18.0,2.0,3.0,0.0103806228373704
2024-03-29 21:00:07.000,2024-04-01,531.6,531.4,531.6,531.24,525.98,532.2,270.0,78413.0,143469780.0,557.52,494.42,531.4,531.42,531.44,531.46,531.48,531.38,531.32,531.3,531.28,531.26,9.0,6.0,6.0,22.0,10.0,1.0,49.0,1.0,19.0,2.0,0.0103045743184151
2024-03-29 21:00:07.500,2024-04-01,531.6,531.42,531.6,531.24,525.98,532.2,278.0,78409.0,147721020.0,557.52,494.42,531.44,531.46,531.48,531.5,531.52,531.42,531.38,531.32,531.3,531.28,2.0,22.0,8.0,14.0,5.0,1.0,1.0,52.0,2.0,20.0,0.0103425985778926
2024-03-29 21:00:08.000,2024-04-01,531.6,531.38,531.6,531.24,525.98,532.2,280.0,78408.0,148783820.0,557.52,494.42,531.36,531.38,531.4,531.42,531.44,531.34,531.32,531.3,531.28,531.26,1.0,8.0,3.0,17.0,5.0,1.0,50.0,1.0,18.0,2.0,0.0102665500589376
2024-03-29 21:00:08.500,2024-04-01,531.6,531.36,531.6,531.24,525.98,532.2,292.0,78417.0,155160380.0,557.52,494.42,531.44,531.46,531.48,531.5,531.52,531.36,531.34,531.32,531.3,531.28,3.0,22.0,9.0,14.0,2.0,6.0,5.0,52.0,1.0,19.0,0.01022852579946
2024-03-29 21:00:09.000,2024-04-01,531.6,531.36,531.6,531.24,525.98,532.2,292.0,78417.0,155160380.0,557.52,494.42,531.48,531.5,531.52,531.54,531.56,531.4,531.38,531.36,531.34,531.32,8.0,14.0,3.0,1.0,4.0,3.0,7.0,6.0,3.0,52.0,0.01022852579946
2024-03-29 21:00:09.500,2024-04-01,531.6,531.38,531.6,531.24,525.98,532.2,294.0,78417.0,156223140.0,557.52,494.42,531.46,531.48,531.5,531.52,531.54,531.42,531.4,531.38,531.36,531.34,7.0,2.0,14.0,2.0,1.0,1.0,3.0,5.0,5.0,2.0,0.0102665500589376
